hashtags,urls
"['Colbert', 'statues', 'GenerationAdama']",[]
[],[]
"['climatechange', 'forests', 'ClimateChange', 'ClimateCrisis', 'ClimateActionNow']",[]
,
"['BlackLivesMatter', 'BidenHarrisLandslide2020', 'Biden', 'Covid_19', 'Corona']",[]
"['ClimateChange', 'ClimateAction', 'ClimateCrisis']",[]
[],[]
,
"['ClimateChange', 'ClimateCrisis', 'ClimateAction']",[]
,
"['ClimateChange', 'ClimateAction']",[]
,['']
"['Trump', 'VoteBidenHarris', 'FAIL']",[]
"['HumanRights', 'HumanRightsViolations', 'ICantBreathe']",[]
"['coronavirus', 'COVID19']",[]
"['HumanRights', 'HumanRightsViolations']",['https://timesofindia.indiatimes.com/blogs/mind-the-gap/the-global-human-rights-regime-needs-to-be-revamped/']
[],[]
"['UnitedNations', 'HumanRights', 'ClimateChange', 'asylum']",['https://news.un.org/en/story/2020/01/1055671']
"['HumanRights', 'HumanRightsViolations']",[]
"['IraqProtests', 'Iraqi', 'Iraq', 'IraqMillionManMarch', 'HumanRights', 'Humanviolation']",[]
[],[]
['PortlandProtest'],[]
"['25thAmendmentNow', 'TrumpStroke']",[]
"['TrumpHatesOurMilitary', 'TrumpIsALoser', 'TrumpHatesVets']",[]
"['IfImHavingABadDay', 'MondayMorning', 'MondayMotivation']",['https://www.forbes.com/sites/chuckjones/2019/07/05/trump-is-falling-almost-1-million-jobs-short-vs-obama/#16934db08caa']
['MoscowHunter'],[]
"['USA', 'WakeUpAmerica']",[]
"['OhioUniversity', 'KaitlinBennet']",[]
[],[]
"['Trump', 'BlacklivesStillMatter', 'TrumpIsALiar']",[]
"['MichiganPrimary', 'MichiganPrimary', 'MichiganForBernie', 'MissouriPrimary']",['https://www.huffpost.com/entry/working-families-party-endorses-bernie-sanders-2020-democratic-presidential-primary_n_5e65dc9bc5b6670e72fa63a9']
"['FelizLunesATodos', '27Julio', 'BuenosDiasATodos']",[]
"['coronavirus', 'ResignNowtrump']",[]
['YouMayHaveALowIQ'],[]
['TrumpBooedAgain'],['https://slate.com/news-and-politics/2019/10/donald-trump-booed-world-series-us-open-veterans-impeachment.html']
"['ColombiaLivesMatter', 'bogota', 'ColombiaEnAlertaRoja']",[]
['ImpeachingHearings'],[]
['TrumpTapes'],[]
['YouMayHaveALowIQ'],[]
"['Acosta', 'AcostaMustGo']",[]
"['Palestina', 'FreePalestine', 'Palestinewillbefree']",[]
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
[],[]
"['Trump2020', 'MAGA']",[]
"['WWG1GWA', 'wwg1wga', 'Trump2020', 'Trump2020LandslideVictory']",[]
"['TrumpResignNow', 'troops', 'TrumpHatesOurMilitary']",[]
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
"['PleaseNeverCancel', 'TrumpIsNotWell']",[]
"['SaudiArabia', 'Saudi', 'SaudiAramco', 'MiddleEast']",[]
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
"['Iraqi', 'IraqiRevolution', 'Iraq', 'IraqProtests']",[]
"['US', 'Iranian', 'Iran', 'USA', 'usvsiran', 'IranvsUSA']",[]
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
"['LetItBe2021', 'NeoClassic', 'COVID19']",[]
"['Palestine', 'PalestineWillBeFree', 'HumanRights', 'FreePalestine']",[]
['JoeBiden'],[]
"['FakeNewsMedia', 'Americans', 'FakeNewsCNN']",[]
['WarOnThanksgiving'],[]
"['LadyGaga', 'ENIGMA', 'GagaVegas']",[]
"['impeachment', 'NancyIsABoss', 'SOTU']",[]
"['Trump', 'TrumpIsGuilty']",[]
['SpaceForce'],[]
"['BarronTrump', 'RNCConvention2020', 'Trump2020LandslideVictory']",[]
['LockHimUp'],[]
"['Republican', 'TrumpCrimeFamilyForPrison', 'TrumpIsAnIdiot']",[]
[],['https://indianexpress.com/article/pakistan/629-pakistani-girls-sold-as-brides-to-china-6178692/']
['TrumpWantsToInfectUs'],[]
"['SeattleProtest', 'chazseattle']",[]
[],[]
"['Palestine', 'PalestineWillBeFree', 'FreePalestine']",[]
['TrumpKnewAndDidNothing'],[]
"['HumanRightsViolations', 'Humanity', 'Humanrights', 'humanrightsactivists']",[]
"['HumanRights', 'Israel', 'HumanRightsViolations']",[]
"['HumanRights', 'HumanRightsViolations', 'Saudi', 'SaudiArabia']",[]
"['China', 'HumanRightsDay', 'EUdelegation']",['https://www.netherlandsandyou.nl/latest-news/news/2019/12/10/statement-of-the-eu-delegation-in-china-on-international-human-rights-day']
[],[]
"['TrumpIsATraitor', 'TrumpHatesOurVeterans', 'Trump']",[]
"['COVID19', 'TrumpVaccineIsALie', 'TrumpVirus2020', 'BidenHarris']",[]
"['TrumpAmerica', 'realDonaldTrump']",[]
[],[]
['حکایت'],[]
['ریتوییت'],[]
[],[]
[],[]
['TrumpDoesntCare'],[]
['سعدی'],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
['TerimaKasihGuru'],[]
"['Arbaeen2020', 'ArbainHusain']",[]
['MaulidNabi2020'],[]
['HariIbu'],[]
['MaulidNabi2020'],[]
"['IngatlahAllahMahaMelihat', '62DaruratKeadilan']",[]
['TerimaKasihGuru'],[]
[],[]
"['GuaidoEstafador', 'VenezuelaLevantate', 'VenezuelaEnDefensaVictoriosa']",[]
"['empire', 'debate2020']",['http://thealtworld.com/caitlin_johnston/russia-could-never-discredit-the-us-empire-the-way-these-guys-just-did']
['TerimaKasihGuru'],[]
[],[]
"['BeirutBlast', 'Lebanon', 'Israel']",[]
"['2020Election', 'flakespower', 'Flake', 'RBGRevolution']",['https://twitter.com/i/events/1307424962383237120']
"['TrumpIsANationalDisgrace', 'tiktokban', 'TheTruthAboutIvanka']",[]
['BelaNegara'],[]
"['Israël', 'Liban']",['http://thealtworld.com/elijah_magnier/pas-de-guerre-israelienne-contre-le-liban-avant-les-prochaines-elections-americaines']
[],[]
[],[]
[],[]
[],[]
"['PalestineWillBeFree', 'PalestineResistance', 'Palestine']",[]
"['IsraelBahrain', 'البحرين', 'SaturdayThoughts']",[]
[],[]
['positivethinking'],[]
[],[]
['JuneWish'],[]
"['parents', 'Children', 'kids', 'solutions']",[]
"['icantbreathe', 'IndonesiaDaruratKomunis']",[]
[],[]
"['Netanyahu', 'Israel', 'UAEIsrael', 'Jewish', 'Arab', 'SaturdayMorning']",[]
[],[]
"['ngakak', 'fun']",[]
"['BuenosDiasATodos', 'FelizMartesATodos', '18Agosto']",[]
[],[]
"['Palestine', 'FreePalestine', 'PalestinianLivesMatter']",[]
[],[]
"['Palestinian', 'Israeli', 'Palestine', 'HumanRights', 'humanity', 'Palestinians']",[]
['DumpTrump2020'],[]
"['Israel', 'US', 'Israeli', 'UnitedStates']",[]
"['Palestinian', 'FreePalestine', 'trumpspeaceplan']",[]
"['Palestine', 'PortlandProtest', 'IsAConspiracyTheory', 'LetsGetNaugthy']",[]
"['PalestinaLibre', 'freepalastine', '22Febrero']",[]
"['PalestinianLivesMatter', 'PalestinaLibre', 'Palestina']",[]
"['GeorgeFloydMurder', 'GeorgeFloydWasMurdered', 'Minneapolis']",[]
"['VenezuelaAElecciones', 'COVID19', 'coronavirus']",[]
"['BolsonaroReeleito', 'Brasil', 'COVID19']",[]
[],[]
['rabusambat'],[]
[],[]
"['Jumat', 'JumatBerkah']",[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
['JumatBerkah'],[]
[],[]
[],[]
"['Palestine', 'PalestineResistance', 'PalestineWillBeFree', 'malamjumat', 'LailatulQadr']",[]
['malamminggu'],['https://islam.nu.or.id/post/read/104452/dampak-negatif-maksiat-dan-tips-menghindarinya']
[],[]
[],[]
[],[]
[],[]
[],[]
['ShameOnAungSanSuuKyi'],[]
"['ایران_شاه_میخواد', 'وعده_ما_پنجم_دی']",[]
['คู่แสบอ๊อฟจีนส์'],[]
['MessengerOFUnity'],[]
['FailedModernSlavery'],[]
['ShameOnAungSanSuuKyi'],[]
['jumatpuisi'],[]
"['Palestine', 'PalestineWillBeFree']",[]
[],[]
['BelaMuhammad'],[]
['LiveLikeAli'],[]
['ThePromisedSaviour'],[]
['UAEBetraysPalestine'],[]
['HijrahSelamatkanIndonesia'],['http://www.muslimoderat.net/2019/03/ulama-mesir-heran-ada-orang-indonesia.html?m=1']
"['handsanitizer', 'CoronaStopKaroNa', 'CoronaIndonesia', 'CoronaJancuk']",[]
"['احمدي_نژاد', 'انقلابی', 'بهار']",[]
[],[]
[],[]
['toleransiberagama'],[]
[],[]
"['InternationalJusticeDay', 'HariKeadilanInternasional']",[]
"['parenting', 'mondaythoughts', 'Ramadhan']",[]
['minggupagi'],[]
"['FreePalestine', 'TungguTanggalMainnya']",[]
[],[]
['CRAVITY'],[]
['SaturdayMorning'],['https://www.independent.co.uk/voices/trump-administration-detention-indefinite-children-cages-flu-vaccine-custody-deaths-a9075181.html']
['PelosiOwnsTrump'],[]
['TrumpKillsPuertoRico'],[]
"['LockdownEnd', 'CourageisBeautiful']",[]
['AlienDNA'],[]
"['COVID19', 'TrumpRally', 'COVID19']",[]
['مریم_رجوی_گوه_خورد'],[]
[],['http://cle.clinic/2BREuFk']
['BernieWon'],[]
[],[]
"['PPEshortage', 'coronavirus', 'QuarentineLife']",['https://nymag.com/intelligencer/2020/03/gop-senator-no-more-than-3-4-of-our-population-may-die.html']
['ImpeachingHearing'],[]
[],[]
['LetHerSpeak'],[]
['SaturdayMorning'],['https://twitter.com/thehill/status/1210906512530575361']
['TikTok'],[]
['NationalCheeseburgerDay'],[]
['Canela'],[]
"['TrumpVirus', 'COVID19', 'trumpvirus']",[]
"['FelizDomingo', '26Julio', 'BuenasNochesATodos']",[]
['challenger'],[]
"['BuenasNoches', 'animals', 'FelizJueves']",[]
[],[]
[],[]
"['BuenasNoches', 'FelizViernes', '14agosto']",[]
['birthcontrol'],[]
[],[]
"['loneliness', 'COVID19']",[]
"['WomenAgainstTrump', 'ReplaceEllen', 'DearMichigan', 'ProudOfTaylor']",[]
"['TrumpHasNoPlan', 'BillClintonIsAPedo', 'LGBTQIbaes', 'WeBackDurbin']",[]
"['felizmartesatodos', 'BuenosDiasMundo', '25agosto']",[]
"['CoryBooker', 'TrumpIsNotWell', 'JoeBiden']",['https://www.nj.com/politics/2020/09/trump-keeps-claiming-biden-will-bring-crime-to-the-suburbs-and-cory-booker-will-lead-the-way.html']
"['HumanRights', 'HumanRightsViolations', 'annexation']",[]
['RuthBaderGinsberg'],[]
"['HumanRights', 'HongKong']",['https://twitter.com/i/status/1223365402006302721']
"['HumanRights', 'HumanRightsViolations', 'TrumpDictatorship', 'TrumpIsUnwell']",[]
"['TrumpLied200KAmericansdied', 'TrumpVirus', 'Trump', 'COVID19']",['https://www.tagesspiegel.de/politik/200-000-corona-tote-in-den-usa-und-trump-lobt-sich-wir-haben-millionen-leben-gerettet/26210116.html']
"['TrumpMeltdown', 'Trump', 'USA']",[]
[],[]
"['coronavirus', 'COVID19']",['https://www.thegatewaypundit.com/2020/04/video-day-arguing-president-trump-cbs-reporter-paula-reid-told-four-times-leave-coronavirus-survivor-meeting/']
"['TrumpRally', 'TrumpDepression', 'TrumpResignNow']",[]
"['VoteBlueToEndThisNightmare', 'JoeBiden']",[]
[],[]
[],[]
['العراق_اقوی'],[]
['المتظاهرین_مع_الحشد'],[]
"['الهند_تضطهد_المسلمین', 'MuslimsGenocideInIndiaAndIOK']",[]
[],[]
['عراقي_ومن_حقي_أسأل'],[]
"['Mrpresident', 'TrumpIsARapist']",[]
['المتظاهرین_مع_الحشد'],[]
"['Trump', 'PortlandProtests']",[]
"['جمعة_طرد_المحتل', 'ثوره_العشرين_الثانيه_2020']",[]
['المتظاهرین_مع_الحشد'],[]
['بغداد'],[]
['مليونية_سيادة_العراق'],[]
['مليونية_سيادة_العراق'],[]
['العراق_اقوی'],[]
"['BidenHarrisLandslide2020', 'BidenHarris2020', 'COVID__19', 'Israel']",[]
['المتظاهرین_مع_الحشد'],[]
"['Covid_19', 'COVIDIOTS', 'coronavirus', 'Trump', 'protesters']",[]
"['Change', 'BlackOpsColdWar']",['https://www.youtube.com/watch?v=3UomrCsPtdI']
['صفقة_التطبيع'],[]
['العراق_أقوى'],[]
['JeSoutiensMélenchon'],[]
"['BlackLivesMatter', 'USA', 'JusticePourAdama', 'georgefloyd']",[]
,
"['ClimateChange', 'ClimateCrisis', 'ClimateEmergency']",[]
"['ClimateChange', 'ClimateCrisis', 'ClimateEmergency']",[]
,
,
"['ClimateChange', 'ClimateAction', 'ClimateCrisis']",[]
,
"['ClimateCrisis', 'ClimateChange']",['https://phys.org/news/2020-04-great-barrier-reef-worst-ever-coral.html']
['NBCBlackout'],[]
"['ClimateChange', 'ClimateAction', 'ClimateCrisis', 'renewables']",[]
[],[]
[],['https://path.com/p/2VEqyP']
"['ClimateChange', 'ClimateEmergency', 'ClimateAction']",[]
"['trumpknew', 'TrumpHidTheTruth']",[]
['ScaliseResign'],[]
['FakePresident'],[]
['palestine'],[]
"['HumanRights', 'HumanRightsViolations']",['https://euobserver.com/opinion/148169']
"['Beirut', 'wrongtrump', 'LebanonExplosion']",[]
"['HumanRights', 'HumanRightsViolations', 'Chileanpolice']",[]
"['TrumpMeltdown', 'TrumpTaxReturns', 'LockHimUp', 'TrumpIsBroke']",[]
"['HumanRights', 'TrumpResignNow', 'Trump']",[]
"['Israel', 'HumanRights']",[]
"['TrumpReadsAMap', 'VoteTrumpOut']",[]
"['coronavirus', 'HumanRights', 'HumanRightsViolations']",['https://www.un.org/en/un-coronavirus-communications-team/protecting-human-rights-amid-covid-19-crisis']
"['United_Nations', 'Palestine', 'QudsDay', 'Israel']",[]
"['HumanRights', 'womenrights', 'Genderequality']",[]
[],[]
[],[]
[],['https://twitter.com/fate____meh/status/990301321042554886']
[],[]
['LiberalismIsTheRealPandemic'],[]
[],[]
"['BlackLivesMatter', 'racism', 'TrumpViolence', 'MorningJoe']",[]
"['RussianRon', 'BlackLivesMatter', 'TrumpRiots', 'TrumpFailed']",[]
"['TrumpHasNoPlan', 'VoteBlueToSaveAmerica', 'TrumpRecession']",[]
"['TrumpHasNoPlan', 'COVID19', 'VoteOutRacism']",[]
"['HappyBirthdayNiall', 'TrumpBoatParade', 'TrumpKnew', 'BidenHarrisLandslide2020', 'VoteForBidenHarris']",[]
"['TrumpVaccineIsALie', 'BidenHarris', 'BlackLivesMatter']",[]
[],[]
"['VoteRedToSaveAmerica', 'SaveOurChildren', 'Trump2020']",[]
"['BuenasNoches', 'FelizMiércoles', '2Sep']",[]
[],[]
['ObamaGate'],[]
['trump'],[]
[],[]
"['TraitorTrump', 'PutinsPuppet', 'TrumpTreason']",[]
[],[]
"['CNNSOTU', 'COVIDIOT', 'TrumpVirus', 'TrumpLiesPeopleDie']",[]
"['BuenosDiasMundo', 'BuenosAires', 'FelizLunesATodos']",[]
[],['https://www.nytimes.com/2019/10/11/opinion/letters/trump-mental.html']
"['Minneapolis', 'GeorgeFlyod', 'minniapolis']",[]
['Trumpspeech'],[]
['TrumpIsACoward'],[]
['WhatMenDontKnowAboutWomen'],[]
[],[]
[],[]
"['IStandWithPresTrump', 'IStandWithIlhan']",[]
['LeftHandersDay'],[]
"['Palestinian', 'FreePalestine', 'Palestina']",[]
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
"['InterruptTrump', 'BlameTrump', 'derecho']",[]
['LebanonProtests'],[]
"['coronavirus', 'usaCoronavirus', 'CoronaUpdate', 'CoronaVillains']",[]
[],[]
"['SheHasMoreBallsThanYou', 'HandsOffMyBC', 'Vote4TrumpOr']",[]
['ری_استارت'],['http://voiceofrestart.peek.link/h2e']
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
"['TrumpWearsAdultDiapers', 'TrumpIsNotWell']",[]
"['BwelldrinksxGulf', 'NationalLighthouseDay', 'TrumpHoaxedAmerica', 'blackout']",[]
"['US', 'Iraq', 'Iraqi', 'IraqWar']",[]
"['Iran', 'Turkey', 'Syria', 'SyrianArmy', 'Syrians']",[]
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
"['Palestina', 'FreePalestine', 'PalestinaLibre']",[]
"['PalestineMustLive', 'PalestinianLivesMatter', 'Palestina']",[]
"['COVID19', 'CoronavirusUSA', 'CoronaVirusUpdate', 'COVID2019']",[]
"['MyPresident', 'PutinsPuppet', 'ObamaWasBetterAtEverything']",[]
"['US', 'Iranian', 'Iraqi', 'usvsiran', 'IranvsUSA']",[]
['FailedModernSlavery'],[]
[],[]
"['Ivanka', 'Turkey', 'Erdogan', 'TrumpTowers']",[]
"['PalestineWillBeFree', 'Palestine']",[]
['TrumpHidTheTruth'],[]
['KoreanWar'],[]
"['IvankaResign', 'unwantedivanka']",[]
"['ArbainHusein', 'Arbaeen2020']",[]
"['VinceVaughn', 'Trump']",[]
"['Palestine', 'PalestineWillBeFree']",[]
"['FoxNewsLiedAsPeopleDied', 'CoronavirusPandemic']",[]
"['WallStreetPete', 'PetesBillionaires', 'NHprimary2020']",['https://www.forbes.com/sites/michelatindera/2019/12/21/here-are-the-billionaires-backing-pete-buttigiegs-presidential-campaign/#438219b85fc6']
"['ThursdayMotivation', 'thursdayvibes', 'ThursdayThoughts']",[]
[],[]
"['HadEnough', 'VoteBlueToSaveAmerica2020', 'BlackLivesMatter']",[]
['TrumpIsUnwell'],[]
['trumpdictatorship'],[]
"['USNavy', 'TrumpKillsUSTroops']",[]
['IfJesusReturned'],[]
"['ColinKaepernick', 'GeorgeFloyd', 'MinneapolisPoliceMurderdHim']",[]
['WhyTrumpMightQuit'],[]
"['BlackLivesMatter', 'coronavirus']",[]
"['Trump', 'Biden', 'VoteBiden', 'VoteEarly']",['https://www.nytimes.com/2020/10/20/us/politics/biden-trump-times-poll.html']
[],[]
[],[]
"['coronavirus', 'Covid_19']",[]
[],[]
['NBCBlackout'],['https://variety.com/2020/politics/news/trump-town-hall-protest-nbc-1234806089/']
[],[]
"['HumanRights', 'HumanRightsViolations']",[]
[],[]
"['TrumpMeltdown', 'Trump2020Landslide', 'Trump', 'USA']",[]
['PortlandKidnappings'],[]
"['HumanRights', 'Covid_19']",['https://www.hrw.org/news/2020/03/19/human-rights-dimensions-covid-19-response#']
"['coronavirus', 'COVID19']",[]
"['coronavirus', 'HumanRights']",['https://www.newstatesman.com/politics/uk/2020/03/emergency-laws-human-rights-pandemic-coronavirus']
"['HumanRightsViolations', 'Humanrights', 'HongKongNeedsHelp']",['https://www.express.co.uk/news/world/1281365/hong-kong-protests-chinese-anthem-law-prison-criminalise-democracy-carrie-lam-china']
['Rage'],[]
"['HumanRights', 'coronavirus']",['https://off-guardian.org/2020/04/04/did-bill-gates-just-reveal-the-reason-behind-the-lock-downs']
"['FvckTheFourth', 'FvckMAGATS']",[]
"['Israel', 'HumanRights', 'HumanRightsViolations']",[]
[],[]
"['LoveIsNotTourism', 'LovecraftCountry', 'TRUMP', 'TikTok']",[]
[],[]
['ObamaAve'],[]
"['Israel', 'Democrats', 'BlackLivesMatter']",[]
"['Saudi', 'Yemen', 'Saudi_Arabia']",[]
"['MitchIsARussianAsset', 'MitchMcConnellisaRussian']",[]
['BesokSenin'],[]
[],[]
[],[]
[],[]
[],[]
['WearAMask'],[]
['malamjumat'],[]
[],[]
[],['https://beritadunia.net/agama-dan-sosial/mutiara-hikmah/keistimewaan-bershalawat-pada-baginda-nabi-muhammad-saw/']
[],[]
"['hajj2019', 'KaabaUnitesUs']",[]
"['hajj2019', 'KabaUniteUs']",[]
[],[]
[],[]
[],[]
"['IsraeliCrimes', 'PalestinianLivesMatter', 'Group4Palestine', 'IndependentPalestineState']",[]
"['QuarantineAQuote', 'HumanRights', 'Palestine']",[]
[],[]
[],[]
"['Jumat', 'JumatBerkah']",['https://islam.nu.or.id/post/read/106456/ini-wirid-yang-dibaca-sebelum-shalat-subuh']
[],[]
[],[]
['MenangkanAlQuds'],[]
[],[]
[],[]
"['Biden', 'VoteBiden', 'trump']",[]
"['coronavirus', 'France', 'COVID19', 'COVID19france']",[]
"['Trump', 'WakeUpAmerica']",[]
"['BrokeAssPresident', 'TrumpTaxReturns']",[]
['Tiredearth'],[]
['TikTok'],[]
['photography'],[]
"['TrumpIsALiar', 'TrumpIsALiar']",[]
"['TrumpMeltdown', 'marytrump', 'DictatorTrump', 'PortlandProtesters', 'BlackLivesMatter']",[]
['BidenHarrisLandslide2020'],[]
['DrunkHistoryTrump'],[]
"['COVID19', 'COVID', 'vaccine']",[]
[],[]
[],[]
[],[]
[],[]
"['استرا', 'برانکو', 'برانکو_یادت_بخیر']",[]
[],[]
['11septembre'],[]
[],[]
[],[]
['جواد_خیابانی'],[]
[],[]
[],[]
[],[]
"['suffering', 'TrumpsAmerica', 'FailureInChief']",[]
[],[]
"['StopAnnexation', 'NoToAnnexation', 'Palestine', 'FreePalestine']",[]
"['Jaffa', 'Palestine', 'FreePalestine', 'NeoClassic', 'LetItBe2021']",[]
['protests2020'],[]
['TrumpIsALaughingStock'],[]
"['PalestinianLivesMatter', 'Palestinewillbefree', 'Palestinians']",[]
"['PalestiniansLivesMatter', 'PalestinaLibre', 'IsraeliCrimes']",[]
"['18Feb', 'FelizMartes', 'Venezuela']",[]
"['BlackLivesMatter', 'GeorgeFloydMurder', 'GeorgeFloydWasMurdered']",[]
"['Colombia', 'venezolana', 'EEUU']",[]
"['MeQuedoEnCasa', 'coronapocolypse', 'COVIDー19']",[]
['Arbaeenwalk'],[]
"['HumanRights', 'Israel']",[]
[],[]
"['SaudiArabia', 'TrumpMeltdown', 'HumanRights']",[]
"['TrumpIsALoser', 'DraftDodgerDon', 'TrumpHatesOurMilitary']",[]
[],[]
"['InternationalJusticeDay', 'HariKeadilanInternasional']",[]
"['TrumpDoesntCare', 'TrumpFailed', 'TrumpLiedPeopleDied']",[]
[],[]
[],[]
"['parentingIndonesia', 'anak', 'masadepanbangsa']",['https://amp.kompas.com/megapolitan/read/2019/07/28/16283751/kak-seto-upayakan-ada-seksi-perlindungan-anak-di-tiap-rt-jakarta']
['مليونية_سيادة_العراق'],[]
"['Brasileirao', 'Bolsonaro', '21agosto']",[]
"['الهند_تضطهد_المسلمین', 'MuslimsGenocideInIndiaAndIOK']",[]
"['RafaelCorrea', 'EcuadorEnCrisis', 'EcuadorEnEmergencia']",[]
"['ColombiaEnAlertaRoja', 'ColombiaDespierta', 'Colombia']",[]
['مليونية_سيادة_العراق'],[]
"['coronavirus', 'CoronaCrisis', 'koronawirus']",[]
"['chilenas', 'ChileDesperto', '17abril']",[]
